Komentar,Sentimen
"Kenapa aplikasi pemerintah lainnya tidak meniru aplikasi ini, mudah, ringan dan informatif. Lainnya mau aplikasi bumn dan pemerintah seringnya kebalikannya",Positif
"aplikasinya bagus, tapi saat ganti lokasi sesuai pilihan koq jadi ke lokasi gunung sahari terus?. tolong di perbaiki aplikasinya🙏",Negatif
Bagus. cukup membantu liat cuaca saat ini memperkirakan yang akan datang.,Positif
Bagus,Positif
"sangat membantu utk mengetahui Info kebencana,khususnya kami ada di atas sesar gempa utk mengetahui info gempa.....",Positif
"Halo Mimin. Ini mau sampai kapan ya lokasinya terdeteksi di Gunung Sahari Selatan? Mohon bisa diperbaiki ya sistemnya. Sy sudah coba berkali-kali untuk menyesuaikan dgn lokasi sebenarnya, sudah menggunakan GPS juga, dan tetap sj yg muncul Gunung Sahari Selatan. Dan satu lagi, informasi gempa juga terkesan lambat ter-update nya. Masa harus menunggu hampir 1 jam? Mohon kedepannya bisa lebih ditingkatkan kembali kualitas aplikasinya. Terima kasih.",Negatif
Jos,Positif
sangat akurat,Positif
kenapa pada saat buka aplikasinya kadang2 error ya?? layar blank,Negatif
baik,Positif
"Ini aplikasi benar benar akurat. Bisa menyampaikan terjadinya gempa didaerah mana dengan detail, menyampaikan tentang cuaca yang menurutku 90 - 95% akurat. Tidak salah saya menginstal aplikasi ini. Saya kasih Bintang 5 !!!",Positif
baik skl,Positif
bagus dan up date,Positif
"Tombol kembali/keluar tidak berfungsi, Tolong segera diperbaiki",Negatif
"sejak di update malah gak akurat,cuaca cerah malah di bilang mendung, hari hujan malah cerah berawan",Negatif
sangat bagus,Positif
memang sangat d perlukan tp pastikan BMKG harus selalu akurat.,Positif
membantu mengetahui keadaan cuaca,Positif
Good,Positif
membantu sekali,Positif
cukup membantu,Positif
trimah Kaseh atas partisipasi nya,Netral
sangat mudah digunakan,Positif
Aplikasi ini sangat membantu,Positif
"sangat membantu sekali utk mengetahui cuaca saat itu,jadi lebih tahu situasa kl mau bepergian🙏",Positif
sebenere sangat membantu melihat cuaca tp setelah update 1 minggu (16-5-2025) yg lalu sampai skrg malah gk bs dibuka cm ngeblank hitam,Negatif
tolong apknya di perbaiki lagi masak setelah di upgrate saat di buka gambarnya eror kotak kotak berkedip sebenarnya apknya bagus cuma ya itu setelah di upgrate malah eror tolong di perbaiki lagi,Negatif
bagus,Positif
"bagus sih,sayangnya aplikasi GK bisa dibuka dan notifikasi masuk bbrp menit setelah gempa .jd brasa was2 klo kejadian ditempat kita tinggal karna lama updatenya ,dibuka GK bisa ngblank",Negatif
Informasinya cepat tersampaikan dengan adanya notifikasi ini,Positif
aplikasinya gak bisa dibuka mas,Negatif
Saya suka aplikasi ini 😊,Positif
abis di update malah radar nya ga bs dibuka. gmn sih?,Negatif
bagus tapi gak falit masih bagus apps lainya,Negatif
sangat membantu,Positif
mantap,Positif
membantu dalam perjalanan,Positif
BMKG emang top sangat membantu untuk keselamatan masyarakat luas umumnya seluruh Indonesia trimakasih BMKG semoga yang kerja sehat semuanya,Positif
sangat cocok untuk bagi nelayan,Positif
sekarang jarang titik gempa diukur dari gunung sahari buian dari titik kita berada,Negatif
sangat membantu. semoga kedepan lebih baik lagi 👍,Positif
oke lah,Positif
"bagus aplikasi nya, tapi sayangnya saat buka apknya lokasinya berbeda dengan tempat tinggal saya. lokasi di bekasi tapi yang di tertera di apk di jakarta, udh diganti tetap aja tidak bisa pdhl sudah menyalakan GPS di hp😮‍💨",Negatif
sangat baik,Positif
BMKG hebat,Positif
saya melihat suhunya desa setempat,Netral
good,Positif
mantap,Positif
"sangat berguna bagi saya dalam kegiatan pertanian, terimakasih",Positif
mantap Kakak,Positif
mantap,Positif
apk nya minta update terus... ngabisin kuota aj🤦🏻🤦🏻🤦🏻,Negatif
"lokasi nya tdk bisa diperbarui...walaupun disetting tetap aja gk berubah dari ""Gunung Sahari Selatan"" TOLONG DiPerbaiki!!!!!!",Negatif
"prakiraan cuacanya lebih baik dari prakiraan cuaca bawaan dari hp,dan untuk tampilan radar aeannya lebih baik lagi",Positif
infonya up-to-date,Positif
terima kasih,Positif
sangat membantu,Positif
Aplikasi sangat membantu.untuk mempercepat berita apa lagi tentang gempa.pokoknya saya salut Aplikasih in sangat mendukung.,Positif
suka informasi,Positif
terimakasih atas perbaikannya,Positif
keren,Positif
Perkiraan Cuaca oke banget,Positif
setelah diperbaharui malah tidak bisa di buka,Negatif
puas,Positif
Infonya sering tidak sesuai. Prediksi tidak akurat.,Negatif
semonggah bermanfaaat dan berfungsi dengan tepat waktuk sebelum kejadian terjadi.,Negatif
sangat bagus untuk kami bisa melihat daerah mana yang sedang di landa gempa.,Positif
sangat membatu informasi cuaca,Positif
Valid.. kerennn....,Positif
banyak bug,Negatif
mantap,Positif
"Lokasi tidak bisa diubah ke lokasi terkini selalu muncul di Gunung Sahari Selatan, EWS Gunung Sahari Selatan buat apa orang kita di Daerah.",Negatif
🦥,Netral
perkembangan cuaca dan pantau kebencanaan,Positif
apl buat petani jos pkoknya,Positif
"Sayang gak ada widgets-nya, padahal penting banget untuk menampilkan info cuaca tanpa harus buka aplikasi setiap saat",Negatif
Kenapa info kualitas udara di wilayah NTT tida ada yah?.,Negatif
oke bos,Positif
setelah di update malah g bisa di buka,Negatif
bagusss,Positif
mantap,Positif
Aplikasi yg.sangat membantu saya sebagai Lansia untuk mengantisipasi buat Kesehatan harian saya...Terimakasih.🤝👃👍...,Positif
setelah up date jelek bangetttttttt,Negatif
sangat membantu dapat informasi,Positif
bagus,Positif
ok,Positif
aplikasimu ngeglitch king... perbaiki segera,Negatif
cukup baik,Positif
Ok lumayan untuk mengetahui prakiraan cuaca saat ini.,Positif
sangat bermanfaat dan info akurat,Positif
notif gempa nya telat,Negatif
akurat,Positif
terimahkasih,Positif
aplikasinya bagus tingkat akurasinya juga tinggi cocoklah pokoknya...,Positif
ok,Positif
bagus membantu memantau cuaca,Positif
ok,Positif
ok,Positif
ok,Positif
Sering kiriman data terlambat,Negatif
99℅ akurat,Positif
kadang kurang tepat predikainya,Negatif
sangat mendukung,Positif
aplikasi ini bagus.,Positif
aplikasi ini sangat membantu sekali 🅚🅔🅡🅔🅝,Positif
data nya lengkap banget 💯💯💯💯,Positif
"aplikasi yang bagus, dan akurat👌😍",Positif
trmakasih sudah maembantu kami para plaut,Positif
"Tk,s.",Positif
akurasinya mantap,Positif
ok bagus sekali,Positif
oke,Positif
"Sangat berguna , Terima kasih.",Positif
best👍,Positif
"saya sangat terbantu, dengan informasi BMKG ,",Positif
kekurangannya belum bisa widget buat di taruh di home screen,Negatif
untuk akurasi sangat baik tapi sayang belum ada widget,Negatif
prakiraan waktu akurat,Positif
bagus,Positif
lumayan,Positif
perkiraan cuaca akurat saran kalau bisa perkiraan cuaca ada opsi per kecamatan,Netral
"aplikasi bagus dan keren sebagai petani saya wajib memiliki aplikasi ini jadi tau prediksi hujan seminggu kedepan,dan ini sangat akurat sekalj",Positif
kenapa setelah di update aplikasi nya eror,Negatif
"Jangan dibikin minta update terus donk min, ga enak tiap buka aplikasi muncul pop up update aplikasi terus",Negatif
Top,Positif
sangat membantu sekali,Positif
oke,Positif
ok,Positif
kurang akurat,Negatif
ok,Positif
engga akurat,Negatif
Ukuran data kurang diperkecil,Negatif
buka aplikasinya agak lama..,Negatif
terbaik,Positif
Titik lokasi ga sesuai,Negatif
Sangat berguna,Positif
moga makin baguss aplikasi nya,Positif
sangat membantu bagi masyarakat,Positif
"knpa lokasi saya tidak singkron ya min, lokasi saya Padang sumbar, knpa di APK jd gunung Sahari, pdahk udah di singkronkan pke GPS, trus info gempanya jg beda daerah, gempa di Sumbar, tp di apk Sumsel.. tolong cepat di perbaiki min, masak lbih akurat akun bmkg daerah yg di FB dri pada APK nya langsung🥲🥲",Negatif
"aplikasinya membantu bgt, tapi ini kenapa lokasinya nge bug yaa?? dan pas lokasinya udah diganti malah gabisaa",Negatif
apk nya mantap 👍👍👍👍,Positif
"Saya bandingkan beberapa aplikasi yang memprediksi cuaca, ternyata Aplikasi Info BMKG ini yang paling akurat.",Positif
aplikasi yang berguna,Positif
mantap,Positif
"min kenapa lokasi saya jauh banget saya ada di cisaat sukabumi, lokasi nya gunung sahari jakarta sudah di rubah pun tetep gak bisa, tolong bantuannya min, klo sudah ada jawaban dan lokasi berhasil saya perbarui saya rubah bintang nya terima kasih 🙏",Negatif
Alhamdulillah akhirnya ⚓,Positif
"manfaat untuk mengetahui cuaca di indonesia dan wilayah lokasi dan desa tempat tinggal.. semoga riel,",Positif
bug. lokasi tidak akurat padahal saya di semarang tapi lokasi GPS di aplikasi ada di gunung sahari,Negatif
oke,Positif
terimakasih banyak 👍👍👍👍👍👍👍,Positif
"Aplikasi nya bagus sangat membantu ketika ada gempa dikasih notifikasi saat terjadi gempa, akan lebih baik lagi dikasih bunyi notifikasi di hp seperti bunyi alarm peringatan saat terjadi gempa atau tsunami, Supaya nanti tahu dan waspadah kalau akan terjadi gempa atau tsunami.",Positif
info gempa nya keluar setelah 1 jam kejadian gempa,Negatif
the best,Positif
sangat berguna semoga kedepannya lebih canggih,Positif
sangat bagus,Positif
smart jelas,Positif
masa iya gempa hampir tiap hari,Negatif
Tolong lebih Di tingkatkan lagi akurasinya,Negatif
"lokasi GPS error, terdeteksi di gunung sahari yang entah di mana. lokasi ke tempat kejadian gempa dimanapun wilayahnya berjarak puluhan ribu kilometer",Negatif
"sangat bagus, ada tetapi cek mikropon agak diperbaiki atau tadinya gitu",Positif
kurang akurat lokasinya.nggak auto detection.padahal di hp dah dinyalakan,Negatif
kurang akurat,Negatif
"Notif gempanya setelah gempanya selesai, tolong BMKG untuk informasi gempa itu diusahakan lebih cepat... Belajar dari negara lain seperti jepang",Negatif
"lokasi tidak sesuai,info cuaca cm di jabodetabek",Negatif
"mungkin harus kirim laporan bug ke pihak MI 🤭 notifikasi peringatan dini cuaca sampai sampai sistem keamanan di hp xiaomi/MI mendeteksi sebagai bug. pdhl udah jelas tertulis prakiraan cuaca untuk 7 hari kedepan tapi notifikasinya tiap 2 jam sekali. coba kasih notifikasi yg lebih akurat,sukur² lebih dari 50% tingkat akurasinya. meskipun cuma prakiraan cuaca tapi ya jangan kira-kira dong",Negatif
"Mohon tambahkan sistem peringatan sebelum gempa bumi seperti Jepang, bagi yang terdampak",Negatif
prediksi cuaca yang akurat dan memuaskan,Positif
improve,Positif
nice,Positif
diharapkan bmkg selalu akurat dalam memberikan laporan gempa krn saya berada di daerah rawan gempa dan sunami. dan segera melaporkan pusat gempa agar penduduk disekitar gempa dapat antisipasi jika harus mengungsi,Netral
bagus,Positif
"sangat membantu dalam upaya monitoring cuaca dan kondisi di suatu wilayah, hasil yang sangat memuaskan. Terimakasih saya ucapkan kepada BMKG dan jajarannya 🙏",Positif
"Tidak Up to date, Telat",Negatif
tolong tambahin widget,Negatif
ok..yes,Positif
saya sudah mengganti lokasi tapi yang muncul tetap gunung Sahari Selatan,Negatif
payah jauh dari prediksi soal cuaca,Negatif
"Posisi selalu di gunung Sahari padahal lokasi kami di Jawa Timur, diatur pakai gps maupun manual juga tidak bisa. di Android ada menu kegawat kedaruratan dan peringatan dini kenapa gak kerjasama dengan google saja untuk hal ini",Negatif
"aplikasinya semakin tidak benar, yg lalu aplikasinya lebih bagus dari yg sekarang. kalo yg sekarang lokasi desanya harus ganti manual tiap kali buka aplikasinya.",Negatif
"lokasi tidak bisa, sudah pakai GPS dan ketik manual lokasinya tidak berubah tetap lokasi gunung sahari",Negatif
"kurang lengkap infomasi lokasi gempa, tolong tambah info provinsinya. minta toloooong baget!! deh",Negatif
sangat bagus dan menolong. terima kasih BMKG lndonesia 🙏,Positif
"berita informasi tidak selalu di-update, aplikasi macam apa",Negatif
"Ketika menyampaikan informasi tolong tempat kejadian disertakan nama provinsi, kadang tidak tau daerah yang disebut di provinsi mana ,,,,?",Netral
lebih cepat lagi infomasi biar kalo ada bencana semua masyarakat tetap waktu selamatkan diri,Netral
"Masukan buat developer untuk notif gempa, tolong bisa dibuat filter berdasarkan jarak. Jadi kami tidak binggung dengan banyaknya notif (jarak gempa yg jauh). Jadi kami bisa lebih aware dengan gempa di lokasi yang dekat.",Netral
tercepat dan akurat,Positif
"untuk gps tidak berfungsi, lokasi saya di Sukabumi tapi laporan cuaca di gunung Sahari Jakarta. tolong diperbaiki",Negatif
bagus,Positif
"laporan cuacanya bagus dan cukup akurat,cuma pelacak lokasinya itu loh yang benar-benar buruk!",Netral
Kenapa lama-lama notifikasi gak muncul?,Negatif
Kenapa versi baru untuk lokasi bukan lokasi terkini melainkan dilokasi Gunung Sahari Selatan 👎👎,Negatif
the best apk👍,Positif
aplikasinya saya hapus lagi gak berguna prediksi cuacanya meleset semua capek dikasih harapan palsu prediksi cuaca bmkg dari dulu gak akurat,Negatif
bug lokasi ga sesuai,Negatif
Mengikuti,Positif
"Aplikasi yang cukup lengkap. Semoga makin diimprove tapi ada beberapa improvement yang bisa: - update peringatan dini cuaca: Di bagian paling atas coba buat untuk kecamatan tempat si user berada (kecuali user ga aktifin GPS), baru di bawahnya untuk wilayah terkait - Tolong balikin area peringatan dini cuaca Kab. Bogor ke wilayah jabodetabek. Sekarang tampilan defaultnya ke Jawa Barat, sedangkan wilayah peringatan dini Bogor masuk ke jabodetabek. Ini bikin orang Bogor ga dapet peringatan dini.",Positif
gak pernah LG dpt notifikasi gempa,Negatif
"tidak akurat, di prakiraan cuaca jam 1 hujan ternyata tidak hujan semoga keakuratan prakiraan ditingkatkan",Positif
ternyata tidak akurat di daerahku cerah tapi liat di aplikasi hujan ringan,Negatif
"Semakin parah, bayangkan suatu titik gempa yang ada di sumedang misalnya, oleh sistem dinotifikasi berjarak sekian puluh ribu km dari Gunung Sahari (kantor pusat BMKG). Begitu rendahnyakah SDM di BMKG sehingga tak mampu mengatasi Bugs semudah itu? Apakah pimpinan sekarang ini tidak tahu ya? (lebih parah jika tak mampu memperbaiki Kualitas).",Negatif
"BMKG GAK BECUS, MASALAH RADAR TIDAK BISA TERPANTAU SAJA LAMA SEKALI PERBAIKAN NYA.. TOLONG RADAR KALIMANTAN TIMUR SEGERA DI PERBAIKI.",Negatif
"informasi cuaca di Daerah Istimewa Yogyakarta masi belum sempurna, tidak ada tampilan tugu Jogja seperti daerah lain Jakarta ada tampilan Monas, tetapi di Jogja tidak ada tampilan tugu Jogja, dan juga tidak pernah ada notifikasi peringatan cuaca ekstrim.",Negatif
kemarin citra satelit GK akurat😭,Negatif
"ngakak , cuaca saat ini bahkan disekitar terang benderang sedikitpun tak ada mendung ,ehh taou disitu tercantum hujan lebat, tidaj akurat kok terus terusan , hai staf bmkg kerja dong ,jangan makan gaji buta, wkk konohaaa !! konoha",Negatif
GPS tidak akurat,Negatif
untuk mengetahui cuaca ketika bepergian,Positif
gak bisa buka gelombang air laut,Negatif
bagus👍,Positif
kenapa y BMKG skrank infonya g cepat n g akurat...d perbaiki donk k akuratan n kecepatan info gempa nya..,Negatif
prakiraan nya selalu melenceng,Negatif
"peringatan lambat,tempat saya terjadi gempa,tapi udah 50 menit,tidak ada muncul peringatan gempa,padahal gempa sangat kuat",Negatif
"setelah update lokasi gak bisa diganti, sehingga waktu info cuaca atau gempa tidak akurat lokasi real-time nya",Negatif
"tolong dibuatkan widgetnya juga, biar tambah bagus",Negatif
sistemnya tidak akurat.,Negatif
radarnya kok malah tidak bisa setelah update,Negatif
ini bagus karna bisa deteksi gempa ada dimana kayak di sulawesi📍atau dimana kayak gitu berguna banget,Positif
tolong fitur fotur yah di perbankan lagi,Negatif
Update terakhir kok nggk bisa pilih lokasi ya... Sudah coba ganti lokasi masih saja di Gunung Sahari Selatan padahal sudah ganti secara manual maupun dgn GPS,Negatif
kurang akurat,Negatif
sangat membantu sebagai Inpormasi awal update perkiraan cuaca,Positif
"lokasi uda di setting, tapi tetap ketika buka aplikasi pasti menunjuk lokasi di gunung sahari selatan, jd posisi gempa juga titik jaraknya diukur dari gunung sahari selatan.....aneh",Negatif
kurang akurat,Negatif
udh di donload tpi gk bsa dibuka,Negatif
siiiipppp,Negatif
Aplikasinya sangat buruk tidak layak digunakan,Positif
"lokasinya tidak bisa diganti, walaupun diganti tetep di lokasi gunung sahari",Negatif
"Ada bug,tidak bisa input daerah permanen/otomatis,kalau keluar aplikasi harus input manual lagi. Padahal sudah aktifkan GPS Edit tambahan : WOI PUKI INI BUG GAK DIBENERIN?!?",Negatif
adain versi widgetnya dongg ✌🏻✨️,Negatif
"baguss, tp sayang tdk ada prediksi pasang surut air laut",Netral
Aplikasi Mantap. Bisa lihat Live Gempa. Cocok Utk Masyarakt di daerah Rawan Tsunami terutama Jakarta 😁💕,Positif
Sangat payahhhh,Negatif
"udah diupdate malah GPSnya gak karuan, saya di jatim GPSnya di Jakarta",Negatif
Good,Positif
Biar bintang yang berbicara,
"dulu sangat membantu di radar cuaca hujan, sekrg dah ga pernah apdet",Negatif
"Setelah update terakhir, kenapa saat berada di wilayah D.I. Yogyakarta tidak bisa menampilkan cuaca dan peringatan dini cuaca di lokasi terkini saya berada? Namun, saat saya di luar D.I. Yogyakarta, aplikasi berjalan lancar sesuai semestinya.",Negatif
"perkiraan cuacanya ga akurat bgt anjir, udah berkali kali ketipu sama perkiraan cuaca🤦‍♀️🤦‍♀️😹😹",Negatif
"Kok sekarang lokasinya gak bisa dirubah, padahal udah pake gps tetap saja alamatnya gak bisa rubah, mohon diperbaiki lagi min.",Negatif
Terbaik,Positif
tau dahh ini aplikasi kayak apa updatenya lambat. sekarang gempa besok pagi baru keliatan updatenya. aplikasi yang salah atau yang updatenya. ke enakan tidur.,Negatif
"Gimana sih!?! Masa Kepulauan Riau (Batam & Tanjungpinang) tidak ditampilkan saat ini! Sedangkan provinsi lain dpt title kelurahan, informasi cuaca suhu saat ini, dan ada tampilan monumennya. Namun, BMKG melupakan bagian Kepri dan tidak ada yg diatas. Ini menjadi evaluasi pemerintah dan BMKG utk perbaikan!",Negatif
info penting,Positif
"NAMA DAERAH LOKASI GEMPA TIDAK DI TULIS DENGAN JELAS DAN AKURAT, KEDEPAN TOLONG DI PETA DI TULIS NAMA DAERAH LENGKAP",Negatif
Best,Positif
dulu masih baik sekarang jelek... berat untuk di jalankan... cr aplikasi lain aja,Negatif
Bagus...,Positif
"Akurat 100% dari Hongkong!!! di aplikasi bilang hujan, di reality di mana mana tidak hujan. BUMN sekarang gak ada yang bisa di pegang omongannya. Bukan hanya jarang, sering. Bila sering meleset apakah 100% akurat?",Negatif
Cuaca maritim H+1 selalu eror. Ilustrasi juga bagus yg lama.,Negatif
"setelah update, untuk menentukan lokasi tidak bisa, dipilih opsi apa pun tetap default ke gunung sahari, padahal sebelumnya dapat menentukan lokasi, sudah hampir sebulan ini belum ada perubahan, mohon diperbaiki lagi agar pengguna dapat memperoleh update akurat untuk wilayah yang dipilih pengguna, terima kasih",Negatif
"Tidak bisa ganti wilayah meski pake gps, selalu mengarah ke daerah gunung sari. Mohon diperbaiki",Negatif
"nyesel perbarui, malah Lokasinya gk bisa d atur, 👎",Negatif
jempol dah abis,Negatif
Aplikasi ini sangat cepat memberikan informasi tentang peringatan gempa mau pun cuaca,Positif
"Maaf bintang 1 saja dulu,krn update terakhir justru tak tampak lokasi pengguna secara otomatis.",Negatif
Sama sekali tidak akurat,Negatif
Sangat membantu,Positif
sangat bermanfaat,Positif
Ok,Positif
"Beda dgn aplikasi yg lama,,yg ini hampir gak prnh dpt notifikasi..cm sekali2 aja dpt notif gempa,pdhl hampir tiap HR ada gempa di wilayah indonesia.",Negatif
Tambah susah baca perkiraan gelombang laut Kembalikan ke model lama ya pak,Negatif
Habis update mlah ngk bisa ganti lokasi,Negatif
Bgus,Positif
"Perubahan Cuaca bukannya di update setiap saat, tapi hanya lewat pemberitahuan saja.. Kalah jauh sama Aplikasi serupa yg bisa diatur updatenya setiap saat.. Ayo maju lagi BMKG.. Jangan mau kalah sama yg free.. Wkwkwk...",Negatif
"Setela update malah semakin banyak bug. Gps tidak bisa deteksi,citra satelit pun susah untuk dibuka.",Negatif
Ini Gimana om.. lokasi ke lock Gunung Sahari... Jadi ngaco lokasi.. ganti ganti tetap patokan gunung Sahari .. tolong kembalikan posisi GPS nya yang bener..,Negatif
"Kenapa citra satelit himawari tidak muncul lagi ya, selalu loading saat dibuka, padahal sangat berguna buat saya tau arah angin membawa awan hujan, mudah2an bisa diperbaiki oleh BMKG",Negatif
Tidak terlalu akurat,Negatif
"Mohon beri tambahan ada vibration meter, agar wilayah lain dapat mengukur getaran di daerah yang belum ter-cover",Netral
"Masih ada bug. Notifikasi masuk gempa, dll, sudah tepat, tapi saat diklik aplikasi sama sekali tidak terbuka. Lokasi sudah diganti tapi tetap tidak tersimpan.",Negatif
Cukup bagus,Positif
"gps nya gunung sahari jaksel aja, pdhal bkn, dirubah enggak bs tolong diperbaiki",Negatif
"Lumayan Oke, tetapi untuk aplikasi pemerintah ini masih kurang, fitur nya ada yang error,dan map nya masih susah di lihat",Netral
Sangat bermanfaat,Positif
Bagus,Positif
Kenapa sekarang enggk bisa pilih kota di luar daerah jakarta,Negatif
"Keren bgt, bisa tau info gempa dgn cepat.",Positif
Harusnya pakai kecamatan,Netral
Bermanfaat,Positif
Oke,Positif
Bagus,Positif
Setelah update kenapa ngga bisa lock lokasi kita hanya lock Jabodetabek kan aneh,Negatif
Sama sekali tidak akurat .aplikasi GK guna,Negatif
Gabisa di buka apl nya njir,Negatif
Sangat bermanfaat apalagi sekarang cuaca dan keadaan alam gak menentu jadi bisa sebagai referensi,Positif
Cuaca Terbaik 😇,Positif
Bagus Tembuku bangli bali terbaru,Positif
"Sebenernya bagus, cuman kok gak up to date ya? Maksudnya pas ada gempa gak langsung terdeteksi, malah yang daerah jauh terdeteksi terus.",Netral
Info BMKG Mantap dan terpercaya,Positif
"Sudah bagus, cukup akurat. Klo bisa tambahkan peta map untuk prakiraan cuaca angin real-time seperti apk windy.",Positif
Datanya tidak akurat.diperkiraan cuaca hnya berawan sedangkan dilapangan sdh hujan sngt deras tapi ngga diperbarui perkiraan cuaca nya,Negatif
👍,Positif
"Sekarang kalo muncul notifikasi hanya gempa saja, gak kaya dulu ada perkiraan hujan pasti muncul notif.",Negatif
Ok,Positif
Apk nya jadi ga akurat GPSnya,Negatif
Untuk cuaca maritime kurang akurat ... Beda jauh apa yg di tunjukan ... Pada wilayah laut Jawa dari banjarmasin ke Surabaya di tampilan warna biru ( menandakan reda ) di realita ombak setinggi 2 meter,Negatif
Sangat membantu dlm kegiatan se hair2,Positif
"Tolong di perbaiki dong Admin, itu bagian lokasi di handphone saya tidak bisa pindah lokasi, semuanya hanya gunung sahari, meskipun wilayah lain bisa / dapat di klik, akan tetapi berakhirnya tetap di gunung sahari. Terima kasih Kami tunggu update terbaru nya",Negatif
"Oke sudah keren,semoga kedepannya teknologi Indonesia lebih maju dan berkembang",Positif
Wao,Positif
😃,Positif
Oke,Positif
Apaan prakiraan cuaca ga dikasih tanggal 😂,Netral
Kurang akurat,Negatif
Kenapa sekarang lokasinya selalu di gunung sahari jakarta.... diubah2 tetap saja gunung sahari... notifikasi tidak relevan dengan lokasi kita...,Negatif
"Aplikasi payah, tingkat akurasi 80% meleset saat musim hujan. Sungguh tidak berguna sama sekali. Padahal saya petani sangat mengandalkan prakiraan cuaca.",Negatif
Bagus,Positif
"Bagi lokasi yang munculnya gunung sahari, uninstall kemudian install kembali, berhasil untuk saya",Negatif
fitur lokasi tidak akurat setelah di update,Negatif
Sangat membantu dalam keseharian,Positif
Aplikasi nya bagus dan sangat membantu baik cuaca maupun bencana Alam seperti gempa.,Positif
oke,Positif
"Update terakhir kok mau buka info citra satelit jadi susah, jg menu lainnya. Awal saya kira karena kapasitas memori HP, setelah hpus beberapa aplikasi dan memori penyimpanan hasilnya kok sama. Mohon pembaharuan aplikasi ttp memperhatikan bagaimana agar semua gadged ttp bisa support, terimakasih.",Negatif
notifikasi berulang sampai 2x setelah kejadian gempa dengan jarak lebih dari 1 jam.,Netral
"muncul notifikasi,pemberitahuan izinkan mengakses lokasi.,padahal sudah di izinkan., tapi tetap pemeritahuannya tetap muncul., dan juga peta guncangan tak bisa di akses., sudah 2 hp saya coba., tetap kerusakan ini ada..,",Negatif
Sangat membantu informasi,Positif
ada bug dalam membaca keakuratan gps pada menu cuaca TOLONG SEGERA PERBAIKI!,Negatif
Bagus,Positif
"Eror terus padahal di daerahku lagi ada gempa ,malah eror terus aplikasinya...",Negatif
Lokasi tidak berfungsi,Negatif
"Bagus sangat membantu utk info cuaca sblm perjalanan dan buat antisipasi keadaan dari bencana,",Positif
"Baru instal,ngecek langsung un instal ... Ngetik daerah mau lihat cuaca perjam ternyata gak ada,ngecek prakiraan cuaca di tempatku hari ini dibilang berawan,padaha lagi ujan badai....udahlah tak kira apk pusat lebih akurat,oalahhh...",Negatif
"Apk nya ckup bagus, tpi sayang klo udah plih desa nya, ada yang gk bisa dicari, dan ada pula udah ganti lokasi, tpi desa nya itu² aja, gk bisa keganti.!!! Mohon diperbaiki lagi, karena sebelumnya udah bagus, pas sudah update malah jadi begitu 😢",Negatif
Harusnya tambahin widget biar lebih bagus,Netral
Lelet 💩,Negatif
"Sudah bagus aplikasi susuai degan cuaca di daerah saya cuman saran saya kalau bisa tambahan ""WIGET"" agar mempermudah liat cuaca atau gempa yang terjadi selain itu tidak harus membuka aplikasi",Netral
Ini loading Nya ga pakai data atau pakai data saya ga tau tolong dong kasih tau ya aku mohon ? 🤭,Netral
Sangat membantu untuk memprediksi cuaca hujan atau ke depan,Positif
"Setelah update, halaman awal dari aplikasi selalu di Gunung Sahari Selatan, padahal lokasi sudah di ubah ke Bandung. Sebelum update tidak ada masalah seperti ini.",Negatif
Membantu untuk kegiatan out door,Positif
carilah cara biar bisa memprediksi jangan nnt sdah kejadian baru muncul pemberitahuan,Negatif
Di tingkat kan lagi,Negatif
Mantap,Positif
Tolong perbaiki akurasi lokasi. Saya dimana lokasi lain entah dimana sehingga ada gempa berlokasi di rumah selalu berjarak puluhan ribu km tampilannya di layar hp,Negatif
Sangat informatif,Positif
"Udh lemot perkiraan cuaca aja salah mulu, kalo update aplikasi sekalian aja lah, skrg lokasinya aneh pdhl gps sudah akurat",Negatif
Luar biasa 👍👍👍,Positif
Bagus,Positif
بسم الله الرحمن الرخيم semoga amanah & terpercaya. Amiin,Positif
Lokasi tidak update. Input manual pun tidak bisa terupdate.,Negatif
Lokasi gps tidak sesuai,Negatif
Sangat bagus,Positif
Mantap,Positif
👍,Positif
"Sangat membantu mendapatkan informasi spesifik curah hujan dan informasi penting lainnya seperti Gempa Bumi. Untuk team pengembang aplikasi saya berharap kedepannya semakin baik , terimakasih.",Positif
Untuk wilayah Cakung timur ga akurat,Negatif
"Aplikasi ini semakin lemot, informasi gemoa terkini masa sdh 2 hari yang lalu... Coba perbaiki lagi sistem nya donk",Negatif
"Cacat njirr, di buka sulit, tampilan cuaca nggak langsung di lokasi kita, apa apaan, buat aplikasi tuh yang jelas",Negatif
semoga selalu maju,Positif
Tidak akurat,Negatif
Semenjak di update lokasi tidak sesuai sudah di setting tapi balik lagi ke jakarta,Negatif
Mantap,Positif
"ku bukan orang jabodetabek, beranda munculnya gunung sahari terus, g peduli ma cuaca jakarta yg versi seblumnya bisa otomatis detect lokasi,",Negatif
Widget widget widget widget.....,Netral
"Setelah update lokasi di beranda tidak bisa di rubah sesuai GPS, tampilannya selalu Gunung Sahari Selatan",Negatif
Good info,Positif
Update terakhir kok malah per kelurahan. Dan udah pilih lokasi sekali buka app malah jadi gunung sahari.,Negatif
"Bagaimana ini, diupgrade kok malah bermasalah. Benahi dulu, jangan asal perintah upgrade. Payah !",Negatif
